sampleID	p_Euryarchaeota	p_Actinobacteria	p_Bacteroidetes	p_Cyanobacteria	p_Deferribacteres	p_Firmicutes	p_Fusobacteria	p_Patescibacteria	p_Proteobacteria	p_Tenericutes	p_Verrucomicrobia	k_Bacteria	k_Eukaryota	Unassigned
524-60min	0	6	933	26	0	1025	0	0	7	30	0	0	0	0
527-30min	0	18	897	0	4	1069	0	0	22	17	0	0	0	0
528-120min	0	9	546	3	2	1377	0	11	26	53	0	0	0	0
528-30min	0	18	962	2	0	975	0	9	17	44	0	0	0	0
528-60min	0	11	538	0	0	1402	0	3	21	52	0	0	0	0
529-120min	0	14	829	43	4	1052	0	0	42	43	0	0	0	0
529-30min	0	18	829	48	8	1067	0	0	38	19	0	0	0	0
529-90min	0	13	1055	24	0	859	0	0	23	53	0	0	0	0
529W-120min	0	27	631	14	0	1268	0	2	40	45	0	0	0	0
529W-30min	0	24	958	9	0	981	0	2	34	19	0	0	0	0
529W-60min	0	39	659	9	0	1281	0	4	20	15	0	0	0	0
530-120min	0	26	1140	23	0	696	0	0	138	4	0	0	0	0
530-30min	0	22	1321	18	0	525	0	0	141	0	0	0	0	0
530-60min	0	22	1153	10	0	714	0	0	127	1	0	0	0	0
531-120min	0	7	651	24	7	1311	0	0	26	1	0	0	0	0
531-60min	0	13	857	12	4	1084	0	0	51	6	0	0	0	0
533-30min	0	25	480	0	5	1454	0	9	27	27	0	0	0	0
533-60min	0	16	209	0	10	1739	0	5	37	11	0	0	0	0
534-120min	0	27	1192	9	0	750	0	0	25	24	0	0	0	0
534-60min	0	39	1063	23	0	834	0	0	55	13	0	0	0	0
535-120min	0	12	815	27	3	1073	0	1	25	71	0	0	0	0
535-150min	0	6	797	9	1	1113	0	5	40	56	0	0	0	0
535-30min	0	5	923	9	2	1013	0	5	27	43	0	0	0	0
535-60min	0	20	754	31	5	1125	0	3	28	61	0	0	0	0
536-30min	0	20	984	0	0	951	0	16	29	27	0	0	0	0
538-120min	0	28	643	0	0	1260	0	3	20	73	0	0	0	0
538-30min	0	14	929	0	0	989	0	5	20	70	0	0	0	0
538-60min	0	11	568	1	0	1347	0	0	23	77	0	0	0	0
540-120min	0	17	1220	22	9	724	0	0	33	2	0	0	0	0
540-240min	0	16	1218	31	27	686	0	3	44	2	0	0	0	0
540-30min	0	2	1170	21	19	767	0	0	45	3	0	0	0	0
540-60min	0	27	1069	22	28	847	0	0	34	0	0	0	0	0
